"Year","Region","electricity production, hydro","electricity production, coal","electricity production, oil","electricity production, nuclear","electricity production, natural gas"
2011,"IAI Area 2, without Quebec",0.403743334708343,0.550017086842666,0.000179920538712027,0.0299027935339389,0.01615686437634
2011,"IAI Area 3",0.855287133368601,0,0,0,0.1447128666314
2011,"IAI Area 4&5 without China",0.0995245708515651,0.30576825984517,0.000147256815886907,0,0.594559912487378
2011,"IAI Area 8",0,0,0,0,0
2011,"RoW",0,0,0,0,0
2011,"UN-EUROPE",0.788425594956116,0.0879320591553906,0.00366921904204098,0.0463389634886866,0.0736341633577661
2011,"UN-OCEANIA",0.235827533427672,0.76394143298582,0.000231033586507639,0,0
2012,"CA-QC",1,0,0,0,0
2012,"CN",0.0999989307976606,0.900001069202339,0,0,0
2012,"IAI Area 1",0.479125146916041,0.520874853083959,0,0,0
2012,"IAI Area 2, without Quebec",0.450684705901839,0.523533154987525,3.46068981350823e-05,0.0139811868465732,0.011766345365928
2012,"IAI Area 3",0.852574985851726,0,0,0,0.147425014148274
2012,"IAI Area 4&5 without China",0.0854925112058599,0.91450748879414,0,0,0
2012,"IAI Area 8",0,0,8.09148775488186e-05,0,0.999919085122451
2012,"RoW",0,0,0,0,0
2012,"UN-EUROPE",0.814016629899881,0.0723538015240035,0.00260195712427173,0.0772991361825572,0.0337284752692864
2012,"UN-OCEANIA",0.24467680608365,0.754847908745247,0.000475285171102662,0,0
2013,"CA-QC",1,0,0,0,0
2013,"CN",0.0999990096166226,0.900000990383377,0,0,0
2013,"IAI Area 1",0.418144080255989,0.581855919744011,0,0,0
2013,"IAI Area 2, without Quebec",0.522142464942803,0.359889261296208,7.48055001654974e-05,0.0137642120304515,0.104129256230372
2013,"IAI Area 3",0.778613413164908,0.00186192544996532,0.0112810777262604,0.00368734255777445,0.204556241101092
2013,"IAI Area 4&5 without China",0.0428592396888302,0.95714076031117,0,0,0
2013,"IAI Area 8",0,0,0.000154487872701993,0,0.999845512127298
2013,"RoW",0,0,0,0,0
2013,"UN-EUROPE",0.836572101562229,0.0622207211888185,0.00134227025529114,0.0684817624441442,0.0313831445495168
2013,"UN-OCEANIA",0.335555555555556,0.663747276688453,0.000697167755991285,0,0
2014,"CA-QC",1,0,0,0,0
2014,"CN",0.100000801866746,0.899999198133254,0,0,0
2014,"IAI Area 1",0.500610918332437,0.499389081667563,0,0,0
2014,"IAI Area 2, without Quebec",0.556620299704841,0.403076705287838,0.0129511944513086,0.000327286502379639,0.027024514053633
2014,"IAI Area 3",0.706295365055268,0.00246691019498079,0.0149912234925755,0.00488637980928887,0.271360121447887
2014,"IAI Area 4&5 without China",0.0334087988741357,0.966591201125864,0,0,0
2014,"IAI Area 8",0,0,0.000485537906637997,0,0.999514462093362
2014,"RoW",0,0,0,0,0
2014,"UN-EUROPE",0.842009551637991,0.0604878221029494,0.00295730011740923,0.0697393162015908,0.0248060099400595
2014,"UN-OCEANIA",0.258143863847893,0.741856136152107,0,0,0
2015,"CA-QC",1,0,0,0,0
2015,"CN",0.0999992582391091,0.900000741760891,0,0,0
2015,"IAI Area 1",0.565870834764686,0.434129165235314,0,0,0
2015,"IAI Area 2, without Quebec",0.264660167038415,0.683658226659803,4.19834332264679e-05,0.0272052647307512,0.0244343581378043
2015,"IAI Area 3",0.721801942505735,0.00248914051442237,0,0.00468544096832447,0.271023476011518
2015,"IAI Area 4&5 without China",0.144942077898385,0.855057922101615,0,0,0
2015,"IAI Area 8",0,0,0.000110628210193599,0,0.999889371789806
2015,"RoW",0,0,0,0,0
2015,"UN-EUROPE",0.823263306917482,0.0576700893365662,0.0020503474199795,0.0921598620083641,0.0248563943176086
2015,"UN-OCEANIA",0.272370864571153,0.727629135428847,0,0,0
