Reporting Production (tonnes),"1,441,945","5,225,413","2,257,300","1,923,617","4,476,052","2,194,721",0,"5,547,000",ND,"23,066,048"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"4,881","52,843","33,254",958,"31,704","7,382",ND,"8,335",ND,"139,357"
Coal,"15,432","27,545",0,"11,610","16,645","25,058",ND,"75,014",ND,"171,304"
Oil,0,5,0,106,"1,123",2,ND,0,ND,"1,236"
Natural Gas,57,318,"1,415","16,974","6,183",0,ND,0,ND,"24,947"
Nuclear,280,437,0,0,"12,110",0,ND,0,ND,"12,827"
Total,"20,650","81,148","34,669","29,648","67,765","32,442",ND,"83,349","74,500","349,671"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"28,286","5,769","28,023","9,338","1,195",ND,ND,ND,"72,611"
Purchased from Supplier(s),"20,650","52,862","28,900","1,625","58,427","31,247",ND,ND,ND,"193,711"
Total,"20,650","81,148","34,669","29,648","67,765","32,442",ND,ND,"158,000","266,322"

2002,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,377,961","5,413,000","2,230,000","2,261,000","7,753,000","2,171,495",ND,"4,321,000","629,000","26,156,456"
Reporting Production (tonnes),"1,377,961","5,168,243","2,191,810","1,923,412","4,292,229","2,171,495",0,"4,321,000",ND,"21,446,150"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"6,444","50,312","32,207","3,030","29,969","7,380",ND,"6,638",ND,"135,980"
Coal,"13,443","27,248",0,"10,080","15,773","24,120",ND,"59,741",ND,"150,405"
Oil,0,93,0,109,"1,279",0,ND,0,ND,"1,481"
Natural Gas,38,351,"1,343","16,336","6,199",0,ND,0,ND,"24,267"
Nuclear,189,678,0,0,"12,672",0,ND,0,ND,"13,539"
Total,"20,114","78,682","33,550","29,555","65,892","31,500",ND,"66,379","71,500","325,672"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"27,702","4,386","28,228","9,193","1,244",ND,ND,ND,"70,753"
Purchased from Supplier(s),"20,114","50,980","29,164","1,327","56,699","30,256",ND,ND,ND,"188,540"
Total,"20,114","78,682","33,550","29,555","65,892","31,500",ND,ND,"138,000","259,293"

2001,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,374,473","5,222,000","2,191,810","2,234,000","7,613,000","2,123,011",ND,"3,371,000","381,000","24,510,294"
Reporting Production (tonnes),"1,374,473","4,702,486","2,191,810","1,947,230","4,210,624","2,123,011",0,"3,371,000",ND,"19,920,634"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"6,955","47,105","32,207","3,621","28,755","7,202",ND,"5,215",ND,"131,060"
Coal,"13,325","23,198",0,"9,877","16,932","24,199",ND,"46,934",ND,"134,465"
Oil,0,149,0,405,"1,120",0,ND,0,ND,"1,674"
Natural Gas,35,315,"1,343","16,060","5,719",0,ND,0,ND,"23,472"
