"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"ICEV-G","Car",2031,"sales","HOP",2018,"vehicle",7399067
"PHEV20","Car",2031,"sales","HOP",2018,"vehicle",19177
"PHEV40","Car",2031,"sales","HOP",2018,"vehicle",44597
"BEV100","Light truck",2031,"sales","HOP",2018,"vehicle",5602
"BEV300","Light truck",2031,"sales","HOP",2018,"vehicle",4996
"CNG","Light truck",2031,"sales","HOP",2018,"vehicle",62052
"FCV","Light truck",2031,"sales","HOP",2018,"vehicle",1732
"FFV","Light truck",2031,"sales","HOP",2018,"vehicle",899093
"HEV","Light truck",2031,"sales","HOP",2018,"vehicle",104259
"ICEV-D","Light truck",2031,"sales","HOP",2018,"vehicle",131271
"ICEV-G","Light truck",2031,"sales","HOP",2018,"vehicle",5798792
"PHEV20","Light truck",2031,"sales","HOP",2018,"vehicle",30355
"PHEV40","Light truck",2031,"sales","HOP",2018,"vehicle",7341
"BEV100","Car",2032,"sales","HOP",2018,"vehicle",29377
"BEV300","Car",2032,"sales","HOP",2018,"vehicle",24380
"CNG","Car",2032,"sales","HOP",2018,"vehicle",35950
"FCV","Car",2032,"sales","HOP",2018,"vehicle",1717
"FFV","Car",2032,"sales","HOP",2018,"vehicle",355431
"HEV","Car",2032,"sales","HOP",2018,"vehicle",401340
"ICEV-D","Car",2032,"sales","HOP",2018,"vehicle",10389
"ICEV-G","Car",2032,"sales","HOP",2018,"vehicle",7332647
"PHEV20","Car",2032,"sales","HOP",2018,"vehicle",19005
"PHEV40","Car",2032,"sales","HOP",2018,"vehicle",44197
"BEV100","Light truck",2032,"sales","HOP",2018,"vehicle",5552
"BEV300","Light truck",2032,"sales","HOP",2018,"vehicle",4951
"CNG","Light truck",2032,"sales","HOP",2018,"vehicle",61495
"FCV","Light truck",2032,"sales","HOP",2018,"vehicle",1717
"FFV","Light truck",2032,"sales","HOP",2018,"vehicle",891022
"HEV","Light truck",2032,"sales","HOP",2018,"vehicle",103323
"ICEV-D","Light truck",2032,"sales","HOP",2018,"vehicle",130092
"ICEV-G","Light truck",2032,"sales","HOP",2018,"vehicle",5746738
"PHEV20","Light truck",2032,"sales","HOP",2018,"vehicle",30083
"PHEV40","Light truck",2032,"sales","HOP",2018,"vehicle",7275
"BEV100","Car",2033,"sales","HOP",2018,"vehicle",29009
"BEV300","Car",2033,"sales","HOP",2018,"vehicle",24074
"CNG","Car",2033,"sales","HOP",2018,"vehicle",35499
"FCV","Car",2033,"sales","HOP",2018,"vehicle",1695
"FFV","Car",2033,"sales","HOP",2018,"vehicle",350972
"HEV","Car",2033,"sales","HOP",2018,"vehicle",396305
"ICEV-D","Car",2033,"sales","HOP",2018,"vehicle",10258
"ICEV-G","Car",2033,"sales","HOP",2018,"vehicle",7240656
"PHEV20","Car",2033,"sales","HOP",2018,"vehicle",18766
"PHEV40","Car",2033,"sales","HOP",2018,"vehicle",43642
"BEV100","Light truck",2033,"sales","HOP",2018,"vehicle",5482
"BEV300","Light truck",2033,"sales","HOP",2018,"vehicle",4889
"CNG","Light truck",2033,"sales","HOP",2018,"vehicle",60723
"FCV","Light truck",2033,"sales","HOP",2018,"vehicle",1695
"FFV","Light truck",2033,"sales","HOP",2018,"vehicle",879844
"HEV","Light truck",2033,"sales","HOP",2018,"vehicle",102027
"ICEV-D","Light truck",2033,"sales","HOP",2018,"vehicle",128460
"ICEV-G","Light truck",2033,"sales","HOP",2018,"vehicle",5674643
"PHEV20","Light truck",2033,"sales","HOP",2018,"vehicle",29705
"PHEV40","Light truck",2033,"sales","HOP",2018,"vehicle",7184
"BEV100","Car",2034,"sales","HOP",2018,"vehicle",28680
