"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"FCV","Light truck",2027,"sales","LOP",2018,"vehicle",1938
"FFV","Light truck",2027,"sales","LOP",2018,"vehicle",1005747
"HEV","Light truck",2027,"sales","LOP",2018,"vehicle",116622
"ICEV-D","Light truck",2027,"sales","LOP",2018,"vehicle",146835
"ICEV-G","Light truck",2027,"sales","LOP",2018,"vehicle",6486687
"PHEV20","Light truck",2027,"sales","LOP",2018,"vehicle",33956
"PHEV40","Light truck",2027,"sales","LOP",2018,"vehicle",8212
"BEV100","Car",2028,"sales","LOP",2018,"vehicle",33322
"BEV300","Car",2028,"sales","LOP",2018,"vehicle",27655
"CNG","Car",2028,"sales","LOP",2018,"vehicle",40779
"FCV","Car",2028,"sales","LOP",2018,"vehicle",1947
"FFV","Car",2028,"sales","LOP",2018,"vehicle",403174
"HEV","Car",2028,"sales","LOP",2018,"vehicle",455243
"ICEV-D","Car",2028,"sales","LOP",2018,"vehicle",11784
"ICEV-G","Car",2028,"sales","LOP",2018,"vehicle",8317568
"PHEV20","Car",2028,"sales","LOP",2018,"vehicle",21557
"PHEV40","Car",2028,"sales","LOP",2018,"vehicle",50133
"BEV100","Light truck",2028,"sales","LOP",2018,"vehicle",6298
"BEV300","Light truck",2028,"sales","LOP",2018,"vehicle",5616
"CNG","Light truck",2028,"sales","LOP",2018,"vehicle",69756
"FCV","Light truck",2028,"sales","LOP",2018,"vehicle",1947
"FFV","Light truck",2028,"sales","LOP",2018,"vehicle",1010700
"HEV","Light truck",2028,"sales","LOP",2018,"vehicle",117197
"ICEV-D","Light truck",2028,"sales","LOP",2018,"vehicle",147558
"ICEV-G","Light truck",2028,"sales","LOP",2018,"vehicle",6518635
"PHEV20","Light truck",2028,"sales","LOP",2018,"vehicle",34123
"PHEV40","Light truck",2028,"sales","LOP",2018,"vehicle",8252
"BEV100","Car",2029,"sales","LOP",2018,"vehicle",33457
"BEV300","Car",2029,"sales","LOP",2018,"vehicle",27767
"CNG","Car",2029,"sales","LOP",2018,"vehicle",40944
"FCV","Car",2029,"sales","LOP",2018,"vehicle",1955
"FFV","Car",2029,"sales","LOP",2018,"vehicle",404811
"HEV","Car",2029,"sales","LOP",2018,"vehicle",457092
"ICEV-D","Car",2029,"sales","LOP",2018,"vehicle",11832
"ICEV-G","Car",2029,"sales","LOP",2018,"vehicle",8351342
"PHEV20","Car",2029,"sales","LOP",2018,"vehicle",21645
"PHEV40","Car",2029,"sales","LOP",2018,"vehicle",50337
"BEV100","Light truck",2029,"sales","LOP",2018,"vehicle",6323
"BEV300","Light truck",2029,"sales","LOP",2018,"vehicle",5639
"CNG","Light truck",2029,"sales","LOP",2018,"vehicle",70039
"FCV","Light truck",2029,"sales","LOP",2018,"vehicle",1955
"FFV","Light truck",2029,"sales","LOP",2018,"vehicle",1014804
"HEV","Light truck",2029,"sales","LOP",2018,"vehicle",117673
"ICEV-D","Light truck",2029,"sales","LOP",2018,"vehicle",148158
"ICEV-G","Light truck",2029,"sales","LOP",2018,"vehicle",6545105
"PHEV20","Light truck",2029,"sales","LOP",2018,"vehicle",34262
"PHEV40","Light truck",2029,"sales","LOP",2018,"vehicle",8286
"BEV100","Car",2030,"sales","LOP",2018,"vehicle",33805
"BEV300","Car",2030,"sales","LOP",2018,"vehicle",28056
"CNG","Car",2030,"sales","LOP",2018,"vehicle",41370
"FCV","Car",2030,"sales","LOP",2018,"vehicle",1976
"FFV","Car",2030,"sales","LOP",2018,"vehicle",409018
"HEV","Car",2030,"sales","LOP",2018,"vehicle",461843
"ICEV-D","Car",2030,"sales","LOP",2018,"vehicle",11955
"ICEV-G","Car",2030,"sales","LOP",2018,"vehicle",8438143
"PHEV20","Car",2030,"sales","LOP",2018,"vehicle",21870
"PHEV40","Car",2030,"sales","LOP",2018,"vehicle",50860
"BEV100","Light truck",2030,"sales","LOP",2018,"vehicle",6389
"BEV300","Light truck",2030,"sales","LOP",2018,"vehicle",5698
"CNG","Light truck",2030,"sales","LOP",2018,"vehicle",70767
"FCV","Light truck",2030,"sales","LOP",2018,"vehicle",1976
"FFV","Light truck",2030,"sales","LOP",2018,"vehicle",1025352
"HEV","Light truck",2030,"sales","LOP",2018,"vehicle",118896
"ICEV-D","Light truck",2030,"sales","LOP",2018,"vehicle",149697
"ICEV-G","Light truck",2030,"sales","LOP",2018,"vehicle",6613133
"PHEV20","Light truck",2030,"sales","LOP",2018,"vehicle",34618
"PHEV40","Light truck",2030,"sales","LOP",2018,"vehicle",8372
"BEV100","Car",2031,"sales","LOP",2018,"vehicle",34018
"BEV300","Car",2031,"sales","LOP",2018,"vehicle",28233
"CNG","Car",2031,"sales","LOP",2018,"vehicle",41630
"FCV","Car",2031,"sales","LOP",2018,"vehicle",1988
"FFV","Car",2031,"sales","LOP",2018,"vehicle",411593
"HEV","Car",2031,"sales","LOP",2018,"vehicle",464750
"ICEV-D","Car",2031,"sales","LOP",2018,"vehicle",12030
"ICEV-G","Car",2031,"sales","LOP",2018,"vehicle",8491266
"PHEV20","Car",2031,"sales","LOP",2018,"vehicle",22008
"PHEV40","Car",2031,"sales","LOP",2018,"vehicle",51180
"BEV100","Light truck",2031,"sales","LOP",2018,"vehicle",6429
