"Technology","Size","Year","Data_type","Value","Unit"
"ICEV-G","Light truck",1986,"sales",4424172,"vehicle"
"PHEV20","Light truck",1986,"sales",0,"vehicle"
"PHEV40","Light truck",1986,"sales",0,"vehicle"
"BEV100","Car",1987,"sales",0,"vehicle"
"BEV300","Car",1987,"sales",0,"vehicle"
"CNG","Car",1987,"sales",0,"vehicle"
"FCV","Car",1987,"sales",0,"vehicle"
"FFV","Car",1987,"sales",0,"vehicle"
"HEV","Car",1987,"sales",0,"vehicle"
"ICEV-D","Car",1987,"sales",16444,"vehicle"
"ICEV-G","Car",1987,"sales",10261523,"vehicle"
"PHEV20","Car",1987,"sales",0,"vehicle"
"PHEV40","Car",1987,"sales",0,"vehicle"
"BEV100","Light truck",1987,"sales",0,"vehicle"
"BEV300","Light truck",1987,"sales",0,"vehicle"
"CNG","Light truck",1987,"sales",0,"vehicle"
"FCV","Light truck",1987,"sales",0,"vehicle"
"FFV","Light truck",1987,"sales",0,"vehicle"
"HEV","Light truck",1987,"sales",0,"vehicle"
"ICEV-D","Light truck",1987,"sales",106030,"vehicle"
"ICEV-G","Light truck",1987,"sales",4504001,"vehicle"
"PHEV20","Light truck",1987,"sales",0,"vehicle"
"PHEV40","Light truck",1987,"sales",0,"vehicle"
"BEV100","Car",1988,"sales",0,"vehicle"
"BEV300","Car",1988,"sales",0,"vehicle"
"CNG","Car",1988,"sales",0,"vehicle"
"FCV","Car",1988,"sales",0,"vehicle"
"FFV","Car",1988,"sales",0,"vehicle"
"HEV","Car",1988,"sales",0,"vehicle"
"ICEV-D","Car",1988,"sales",2125,"vehicle"
"ICEV-G","Car",1988,"sales",10623589,"vehicle"
"PHEV20","Car",1988,"sales",0,"vehicle"
"PHEV40","Car",1988,"sales",0,"vehicle"
"BEV100","Light truck",1988,"sales",0,"vehicle"
"BEV300","Light truck",1988,"sales",0,"vehicle"
"CNG","Light truck",1988,"sales",0,"vehicle"
"FCV","Light truck",1988,"sales",0,"vehicle"
"FFV","Light truck",1988,"sales",0,"vehicle"
"HEV","Light truck",1988,"sales",0,"vehicle"
"ICEV-D","Light truck",1988,"sales",110406,"vehicle"
"ICEV-G","Light truck",1988,"sales",4689878,"vehicle"
"PHEV20","Light truck",1988,"sales",0,"vehicle"
"PHEV40","Light truck",1988,"sales",0,"vehicle"
"BEV100","Car",1989,"sales",0,"vehicle"
"BEV300","Car",1989,"sales",0,"vehicle"
"CNG","Car",1989,"sales",0,"vehicle"
"FCV","Car",1989,"sales",0,"vehicle"
"FFV","Car",1989,"sales",0,"vehicle"
"HEV","Car",1989,"sales",0,"vehicle"
"ICEV-D","Car",1989,"sales",12867,"vehicle"
"ICEV-G","Car",1989,"sales",9885132,"vehicle"
"PHEV20","Car",1989,"sales",0,"vehicle"
"PHEV40","Car",1989,"sales",0,"vehicle"
"BEV100","Light truck",1989,"sales",0,"vehicle"
"BEV300","Light truck",1989,"sales",0,"vehicle"
"CNG","Light truck",1989,"sales",0,"vehicle"
"FCV","Light truck",1989,"sales",0,"vehicle"
"FFV","Light truck",1989,"sales",0,"vehicle"
"HEV","Light truck",1989,"sales",0,"vehicle"
"ICEV-D","Light truck",1989,"sales",133690,"vehicle"
"ICEV-G","Light truck",1989,"sales",4476310,"vehicle"
"PHEV20","Light truck",1989,"sales",0,"vehicle"
"PHEV40","Light truck",1989,"sales",0,"vehicle"
"BEV100","Car",1990,"sales",0,"vehicle"
"BEV300","Car",1990,"sales",0,"vehicle"
"CNG","Car",1990,"sales",0,"vehicle"
"FCV","Car",1990,"sales",0,"vehicle"
"FFV","Car",1990,"sales",0,"vehicle"
"HEV","Car",1990,"sales",0,"vehicle"
"ICEV-D","Car",1990,"sales",7440,"vehicle"
"ICEV-G","Car",1990,"sales",9293656,"vehicle"
"PHEV20","Car",1990,"sales",0,"vehicle"
"PHEV40","Car",1990,"sales",0,"vehicle"
"BEV100","Light truck",1990,"sales",0,"vehicle"
"BEV300","Light truck",1990,"sales",0,"vehicle"
"CNG","Light truck",1990,"sales",0,"vehicle"
"FCV","Light truck",1990,"sales",0,"vehicle"
"FFV","Light truck",1990,"sales",0,"vehicle"
"HEV","Light truck",1990,"sales",0,"vehicle"
"ICEV-D","Light truck",1990,"sales",140984,"vehicle"
"ICEV-G","Light truck",1990,"sales",4406918,"vehicle"
"PHEV20","Light truck",1990,"sales",0,"vehicle"
"PHEV40","Light truck",1990,"sales",0,"vehicle"
"BEV100","Car",1991,"sales",0,"vehicle"
"BEV300","Car",1991,"sales",0,"vehicle"
"CNG","Car",1991,"sales",0,"vehicle"
"FCV","Car",1991,"sales",0,"vehicle"
"FFV","Car",1991,"sales",0,"vehicle"
"HEV","Car",1991,"sales",0,"vehicle"
"ICEV-D","Car",1991,"sales",8175,"vehicle"
"ICEV-G","Car",1991,"sales",8167292,"vehicle"
"PHEV20","Car",1991,"sales",0,"vehicle"
"PHEV40","Car",1991,"sales",0,"vehicle"
"BEV100","Light truck",1991,"sales",0,"vehicle"
"BEV300","Light truck",1991,"sales",0,"vehicle"
"CNG","Light truck",1991,"sales",0,"vehicle"
"FCV","Light truck",1991,"sales",0,"vehicle"
"FFV","Light truck",1991,"sales",0,"vehicle"
"HEV","Light truck",1991,"sales",0,"vehicle"
"ICEV-D","Light truck",1991,"sales",131921,"vehicle"
"ICEV-G","Light truck",1991,"sales",3990610,"vehicle"
"PHEV20","Light truck",1991,"sales",0,"vehicle"
"PHEV40","Light truck",1991,"sales",0,"vehicle"
"BEV100","Car",1992,"sales",0,"vehicle"
"BEV300","Car",1992,"sales",0,"vehicle"
"CNG","Car",1992,"sales",0,"vehicle"
"FCV","Car",1992,"sales",0,"vehicle"
"FFV","Car",1992,"sales",0,"vehicle"
"HEV","Car",1992,"sales",0,"vehicle"
"ICEV-D","Car",1992,"sales",4928,"vehicle"
"ICEV-G","Car",1992,"sales",8208459,"vehicle"
"PHEV20","Car",1992,"sales",0,"vehicle"
"PHEV40","Car",1992,"sales",0,"vehicle"
"BEV100","Light truck",1992,"sales",0,"vehicle"
"BEV300","Light truck",1992,"sales",0,"vehicle"
"CNG","Light truck",1992,"sales",0,"vehicle"
"FCV","Light truck",1992,"sales",0,"vehicle"
"FFV","Light truck",1992,"sales",0,"vehicle"
"HEV","Light truck",1992,"sales",0,"vehicle"
"ICEV-D","Light truck",1992,"sales",152744,"vehicle"
"ICEV-G","Light truck",1992,"sales",4475867,"vehicle"
"PHEV20","Light truck",1992,"sales",0,"vehicle"
"PHEV40","Light truck",1992,"sales",0,"vehicle"
"BEV100","Car",1993,"sales",0,"vehicle"
"BEV300","Car",1993,"sales",0,"vehicle"
"CNG","Car",1993,"sales",0,"vehicle"
"FCV","Car",1993,"sales",0,"vehicle"
"FFV","Car",1993,"sales",0,"vehicle"
"HEV","Car",1993,"sales",0,"vehicle"
"ICEV-D","Car",1993,"sales",2555,"vehicle"
"ICEV-G","Car",1993,"sales",8515322,"vehicle"
"PHEV20","Car",1993,"sales",0,"vehicle"
"PHEV40","Car",1993,"sales",0,"vehicle"
"BEV100","Light truck",1993,"sales",0,"vehicle"
"BEV300","Light truck",1993,"sales",0,"vehicle"
"CNG","Light truck",1993,"sales",0,"vehicle"
"FCV","Light truck",1993,"sales",0,"vehicle"
"FFV","Light truck",1993,"sales",0,"vehicle"
"HEV","Light truck",1993,"sales",0,"vehicle"
"ICEV-D","Light truck",1993,"sales",197991,"vehicle"
"ICEV-G","Light truck",1993,"sales",5153130,"vehicle"
"PHEV20","Light truck",1993,"sales",0,"vehicle"
"PHEV40","Light truck",1993,"sales",0,"vehicle"
"BEV100","Car",1994,"sales",0,"vehicle"
"BEV300","Car",1994,"sales",0,"vehicle"
"CNG","Car",1994,"sales",0,"vehicle"
"FCV","Car",1994,"sales",0,"vehicle"
"FFV","Car",1994,"sales",0,"vehicle"
"HEV","Car",1994,"sales",0,"vehicle"
"ICEV-D","Car",1994,"sales",3596,"vehicle"
"ICEV-G","Car",1994,"sales",8986602,"vehicle"
"PHEV20","Car",1994,"sales",0,"vehicle"
"PHEV40","Car",1994,"sales",0,"vehicle"
"BEV100","Light truck",1994,"sales",0,"vehicle"
"BEV300","Light truck",1994,"sales",0,"vehicle"
"CNG","Light truck",1994,"sales",0,"vehicle"
"FCV","Light truck",1994,"sales",0,"vehicle"
"FFV","Light truck",1994,"sales",0,"vehicle"
"HEV","Light truck",1994,"sales",0,"vehicle"
"ICEV-D","Light truck",1994,"sales",235279,"vehicle"
"ICEV-G","Light truck",1994,"sales",5797521,"vehicle"
"PHEV20","Light truck",1994,"sales",0,"vehicle"
"PHEV40","Light truck",1994,"sales",0,"vehicle"
"BEV100","Car",1995,"sales",0,"vehicle"
"BEV300","Car",1995,"sales",0,"vehicle"
"CNG","Car",1995,"sales",0,"vehicle"
"FCV","Car",1995,"sales",0,"vehicle"
"FFV","Car",1995,"sales",5065,"vehicle"
"HEV","Car",1995,"sales",0,"vehicle"
"ICEV-D","Car",1995,"sales",34539,"vehicle"
"ICEV-G","Car",1995,"sales",8595204,"vehicle"
"PHEV20","Car",1995,"sales",0,"vehicle"
"PHEV40","Car",1995,"sales",0,"vehicle"
"BEV100","Light truck",1995,"sales",50,"vehicle"
"BEV300","Light truck",1995,"sales",0,"vehicle"
"CNG","Light truck",1995,"sales",1694,"vehicle"
"FCV","Light truck",1995,"sales",0,"vehicle"
"FFV","Light truck",1995,"sales",31398,"vehicle"
"HEV","Light truck",1995,"sales",0,"vehicle"
"ICEV-D","Light truck",1995,"sales",248180,"vehicle"
"ICEV-G","Light truck",1995,"sales",5771864,"vehicle"
"PHEV20","Light truck",1995,"sales",0,"vehicle"
"PHEV40","Light truck",1995,"sales",0,"vehicle"
"BEV100","Car",1996,"sales",0,"vehicle"
"BEV300","Car",1996,"sales",0,"vehicle"
"CNG","Car",1996,"sales",0,"vehicle"
