Size,Technology,Aeo_case,Fc_impro,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Car,BEV300,HOP,Med,0,0,-0.3354391,-0.357402019,-0.656125049,-0.751298034,-0.86973004,-0.9940629,-1.703835213,-1.069395231,-0.834123996,-0.022242601,-0.019763719,0.001866317,0.004364627,0.007387473,0.004879713,0.004090734,0.003532842,0.002484183,0.000710966,0.001778421,0.001161226,0.001318606,0.001655842,0.000994931,0.000980171,0.000186272,0.000181133,0.000573594,0.00072005,-0.002263497,-8.35E-05,-0.001239634,0,-0.000480435
Car,BEV300,HOP,High,0,0,-0.323679534,-0.79389428,-0.832093322,-1.226039121,-0.903982607,-1.816253466,-2.243253261,-1.281008319,-0.734016743,-0.048542007,-0.084564728,-0.049447111,-0.003432592,-0.004112587,-0.002492114,-0.002341142,-0.001931057,-0.001401859,-9.03E-05,-0.001166546,-0.000507321,2.18E-05,-6.75E-05,-0.000121121,-7.64E-05,-0.000136013,-0.000121121,-0.000129063,-0.000409029,-0.000431862,-5.26E-05,-0.000265073,0,-0.000158845
Car,FFV,HOP,Med,0,0,0.349044738,-1.489595695,-2.273948024,-3.192159761,-1.915884091,-2.456399806,-2.776721101,-1.587330744,-2.263028754,-0.137970256,-0.129258366,0.158506812,0.186319725,0.21324823,0.191881021,0.178502561,0.157016396,0.122920279,0.118641086,0.080995132,0.095009318,0.05058364,0.046143484,0.068834693,0.067740237,0.107076887,0.093793299,0.135373104,0.117441207,0.126140904,0.133481382,0.113632653,0.10836504,0.088860957
Car,FFV,HOP,High,0,0,-0.145055826,-2.355842574,-2.80591649,-4.177004036,-2.887359518,-5.463388516,-6.215622909,-3.321626079,-3.395841144,-0.537489679,-0.204172657,0.195593971,0.246345363,0.186493636,0.216814631,0.209257545,0.183836277,0.145656317,0.146582273,0.095512743,0.115286292,0.068484293,0.074491292,0.097998358,0.08820362,0.137856844,0.12130755,0.175320575,0.153437701,0.159214823,0.169510593,0.143759391,0.137588144,0.112560002
Car,ICEV-D,HOP,Med,0,0,0.206855033,-0.819565043,-1.073683717,-1.75798286,-1.12764359,-1.648090579,-1.698732436,-0.91899364,-2.378078269,-0.076882413,-0.122931871,0.097480291,0.159992657,0.162629962,0.2272587,0.189078185,0.160028564,0.122382804,0.105610398,0.077085131,0.087983689,0.049427575,0.04627228,0.06489687,0.057619142,0.095583004,0.083378423,0.119087524,0.102171721,0.109727604,0.120535498,0.099965681,0.09825395,0.079053692
Car,ICEV-D,HOP,High,0,0,0.029531799,-1.876159718,-1.502681448,-1.46551079,-1.493602646,-2.444752694,-3.686742726,-2.200650375,-4.177897026,-0.280142725,-0.211963467,0.109299586,0.148649097,0.20094798,0.262149506,0.270489685,0.235795003,0.183326007,0.155093435,0.12352468,0.130732486,0.07687843,0.072019229,0.097496579,0.087045542,0.137705101,0.12097406,0.174492785,0.151844214,0.16287413,0.17187606,0.146792052,0.139591646,0.115041391
Car,CNG,HOP,Med,0,0,0.344777285,-1.495029671,-2.2571113,-3.145848714,-1.892820571,-2.449554571,-2.818904892,-1.631295483,-2.157787159,-0.137501968,-0.132068155,0.165614536,0.183294614,0.209615143,0.18412762,0.177201996,0.155845328,0.122325468,0.118467817,0.08061103,0.094617074,0.050349776,0.04988958,0.075899454,0.06716005,0.107028488,0.093961675,0.135563135,0.117754045,0.126671994,0.134184087,0.114325014,0.109137423,0.089514218
Car,CNG,HOP,High,0,0,-0.148996418,-2.371036912,-2.788736596,-4.133735953,-2.866396601,-5.457530209,-6.312724606,-3.41736658,-3.3042055,-0.525344317,-0.209667197,0.194344582,0.24233194,0.182992217,0.214651504,0.207520834,0.182619888,0.145068097,0.146273546,0.095190165,0.121271908,0.078885703,0.074445351,0.098145629,0.088380074,0.138256498,0.121772436,0.176168075,0.151137869,0.160386926,0.170779936,0.145062308,0.13890233,0.113711952
Car,HEV,HOP,Med,0,0,0.637825507,-1.050317974,-2.337374841,-3.685133864,-1.976684492,-2.033393338,-1.354321966,-0.446580534,-3.980944521,0.040507165,0.059797302,0.170079626,0.218323804,0.238845499,0.235548092,0.223397488,0.21862415,0.176555092,0.131198964,0.118201402,0.112310798,0.072827555,0.070062208,0.08409759,0.071869859,0.101077855,0.080046056,0.114953223,0.095371103,0.109454311,0.126881596,0.101344137,0.10307225,0.081810772
Car,HEV,HOP,High,0,0,0.313228408,-1.59921865,-2.95603748,-4.956288298,-3.137140675,-5.120171111,-2.570697431,-1.128194021,-6.999531961,-0.240042523,-0.150077502,0.213752742,0.316172515,0.400309495,0.366128179,0.306543792,0.268686206,0.176294027,0.169532127,0.114472853,0.130370766,0.059519476,0.02384021,0.063748736,0.050750974,0.114957966,0.096728536,0.135417114,0.126635423,0.140681028,0.164516777,0.130599592,0.133538554,0.10565461
Car,PHEV20,HOP,Med,0,0,0.283298224,-1.198066482,-0.363300055,-3.763216945,-1.662637345,-1.795851431,-1.591696853,-1.089687619,-0.993648681,-2.235757236,-0.066475726,0.223135225,0.157412462,0.179213484,0.181153253,0.163698384,0.143434853,0.091206197,0.082018249,0.076976498,0.084785403,0.028609622,0.047478593,0.078377437,0.043101469,0.107535776,0.059192455,0.130159751,0.05838595,0.089522211,0.094914149,0.064206537,0.069923389,0.049409231
Car,PHEV20,HOP,High,0,0,-2.299830273,-1.879190101,-0.398395226,-5.097953155,-2.418339266,-3.324828275,-3.682694263,-2.520029113,-2.051117617,-3.97746275,-0.281654715,0.278891793,0.229951169,0.305078687,0.286252039,0.229307325,0.17787386,0.079099393,0.106920178,0.072073252,0.099989102,0.01090859,0.010747113,0.068039706,0.022519653,0.129738659,0.073088467,0.162301691,0.079763161,0.118046121,0.126029089,0.084867146,0.09285139,0.065545177
