"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"PHEV40","Light truck",2030,"sales","REF",2018,"vehicle",40648
"BEV100","Car",2031,"sales","REF",2018,"vehicle",99980
"BEV300","Car",2031,"sales","REF",2018,"vehicle",978948
"CNG","Car",2031,"sales","REF",2018,"vehicle",32155
"FCV","Car",2031,"sales","REF",2018,"vehicle",29039
"FFV","Car",2031,"sales","REF",2018,"vehicle",436687
"HEV","Car",2031,"sales","REF",2018,"vehicle",697921
"ICEV-D","Car",2031,"sales","REF",2018,"vehicle",279317
"ICEV-G","Car",2031,"sales","REF",2018,"vehicle",6911285
"PHEV20","Car",2031,"sales","REF",2018,"vehicle",81439
"PHEV40","Car",2031,"sales","REF",2018,"vehicle",89034
"BEV100","Light truck",2031,"sales","REF",2018,"vehicle",66450
"BEV300","Light truck",2031,"sales","REF",2018,"vehicle",65266
"CNG","Light truck",2031,"sales","REF",2018,"vehicle",52202
"FCV","Light truck",2031,"sales","REF",2018,"vehicle",29006
"FFV","Light truck",2031,"sales","REF",2018,"vehicle",991904
"HEV","Light truck",2031,"sales","REF",2018,"vehicle",70677
"ICEV-D","Light truck",2031,"sales","REF",2018,"vehicle",190123
"ICEV-G","Light truck",2031,"sales","REF",2018,"vehicle",5176991
"PHEV20","Light truck",2031,"sales","REF",2018,"vehicle",68775
"PHEV40","Light truck",2031,"sales","REF",2018,"vehicle",40773
"BEV100","Car",2032,"sales","REF",2018,"vehicle",101411
"BEV300","Car",2032,"sales","REF",2018,"vehicle",1031293
"CNG","Car",2032,"sales","REF",2018,"vehicle",32149
"FCV","Car",2032,"sales","REF",2018,"vehicle",29244
"FFV","Car",2032,"sales","REF",2018,"vehicle",434570
"HEV","Car",2032,"sales","REF",2018,"vehicle",704080
"ICEV-D","Car",2032,"sales","REF",2018,"vehicle",275189
"ICEV-G","Car",2032,"sales","REF",2018,"vehicle",6851671
"PHEV20","Car",2032,"sales","REF",2018,"vehicle",82212
"PHEV40","Car",2032,"sales","REF",2018,"vehicle",92831
"BEV100","Light truck",2032,"sales","REF",2018,"vehicle",67456
"BEV300","Light truck",2032,"sales","REF",2018,"vehicle",65955
"CNG","Light truck",2032,"sales","REF",2018,"vehicle",51801
"FCV","Light truck",2032,"sales","REF",2018,"vehicle",29204
"FFV","Light truck",2032,"sales","REF",2018,"vehicle",984247
"HEV","Light truck",2032,"sales","REF",2018,"vehicle",71096
"ICEV-D","Light truck",2032,"sales","REF",2018,"vehicle",185547
"ICEV-G","Light truck",2032,"sales","REF",2018,"vehicle",5135472
"PHEV20","Light truck",2032,"sales","REF",2018,"vehicle",69438
"PHEV40","Light truck",2032,"sales","REF",2018,"vehicle",41086
"BEV100","Car",2033,"sales","REF",2018,"vehicle",102310
"BEV300","Car",2033,"sales","REF",2018,"vehicle",1089274
"CNG","Car",2033,"sales","REF",2018,"vehicle",32104
"FCV","Car",2033,"sales","REF",2018,"vehicle",29372
"FFV","Car",2033,"sales","REF",2018,"vehicle",437787
"HEV","Car",2033,"sales","REF",2018,"vehicle",706091
"ICEV-D","Car",2033,"sales","REF",2018,"vehicle",265094
"ICEV-G","Car",2033,"sales","REF",2018,"vehicle",6786316
"PHEV20","Car",2033,"sales","REF",2018,"vehicle",82729
