"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"PHEV20","Light truck",2035,"sales","HOP",2018,"vehicle",68380
"PHEV40","Light truck",2035,"sales","HOP",2018,"vehicle",40496
"BEV100","Car",2036,"sales","HOP",2018,"vehicle",127829
"BEV300","Car",2036,"sales","HOP",2018,"vehicle",1708633
"CNG","Car",2036,"sales","HOP",2018,"vehicle",35202
"FCV","Car",2036,"sales","HOP",2018,"vehicle",28414
"FFV","Car",2036,"sales","HOP",2018,"vehicle",425932
"HEV","Car",2036,"sales","HOP",2018,"vehicle",763597
"ICEV-D","Car",2036,"sales","HOP",2018,"vehicle",286321
"ICEV-G","Car",2036,"sales","HOP",2018,"vehicle",6020772
"PHEV20","Car",2036,"sales","HOP",2018,"vehicle",83680
"PHEV40","Car",2036,"sales","HOP",2018,"vehicle",153000
"BEV100","Light truck",2036,"sales","HOP",2018,"vehicle",70917
"BEV300","Light truck",2036,"sales","HOP",2018,"vehicle",66937
"CNG","Light truck",2036,"sales","HOP",2018,"vehicle",39512
"FCV","Light truck",2036,"sales","HOP",2018,"vehicle",28331
