"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"CNG","Light truck",2034,"sales","REF",2018,"vehicle",65489
"FCV","Light truck",2034,"sales","REF",2018,"vehicle",1828
"FFV","Light truck",2034,"sales","REF",2018,"vehicle",949603
"HEV","Light truck",2034,"sales","REF",2018,"vehicle",57742
"ICEV-D","Light truck",2034,"sales","REF",2018,"vehicle",58087
"ICEV-G","Light truck",2034,"sales","REF",2018,"vehicle",6279926
"PHEV20","Light truck",2034,"sales","REF",2018,"vehicle",13537
"PHEV40","Light truck",2034,"sales","REF",2018,"vehicle",7748
"BEV100","Car",2035,"sales","REF",2018,"vehicle",31837
"BEV300","Car",2035,"sales","REF",2018,"vehicle",26430
"CNG","Car",2035,"sales","REF",2018,"vehicle",38410
"FCV","Car",2035,"sales","REF",2018,"vehicle",1833
"FFV","Car",2035,"sales","REF",2018,"vehicle",382100
"HEV","Car",2035,"sales","REF",2018,"vehicle",434308
"ICEV-D","Car",2035,"sales","REF",2018,"vehicle",11112
"ICEV-G","Car",2035,"sales","REF",2018,"vehicle",7918388
"PHEV20","Car",2035,"sales","REF",2018,"vehicle",20400
"PHEV40","Car",2035,"sales","REF",2018,"vehicle",47826
"BEV100","Light truck",2035,"sales","REF",2018,"vehicle",5928
"BEV300","Light truck",2035,"sales","REF",2018,"vehicle",5287
"CNG","Light truck",2035,"sales","REF",2018,"vehicle",65667
"FCV","Light truck",2035,"sales","REF",2018,"vehicle",1833
"FFV","Light truck",2035,"sales","REF",2018,"vehicle",952174
"HEV","Light truck",2035,"sales","REF",2018,"vehicle",57899
"ICEV-D","Light truck",2035,"sales","REF",2018,"vehicle",58245
"ICEV-G","Light truck",2035,"sales","REF",2018,"vehicle",6296927
"PHEV20","Light truck",2035,"sales","REF",2018,"vehicle",13574
"PHEV40","Light truck",2035,"sales","REF",2018,"vehicle",7769
"BEV100","Car",2036,"sales","REF",2018,"vehicle",31957
"BEV300","Car",2036,"sales","REF",2018,"vehicle",26530
"CNG","Car",2036,"sales","REF",2018,"vehicle",38555
"FCV","Car",2036,"sales","REF",2018,"vehicle",1840
"FFV","Car",2036,"sales","REF",2018,"vehicle",383542
"HEV","Car",2036,"sales","REF",2018,"vehicle",435947
"ICEV-D","Car",2036,"sales","REF",2018,"vehicle",11154
"ICEV-G","Car",2036,"sales","REF",2018,"vehicle",7948263
"PHEV20","Car",2036,"sales","REF",2018,"vehicle",20477
"PHEV40","Car",2036,"sales","REF",2018,"vehicle",48007
"BEV100","Light truck",2036,"sales","REF",2018,"vehicle",5951
"BEV300","Light truck",2036,"sales","REF",2018,"vehicle",5307
"CNG","Light truck",2036,"sales","REF",2018,"vehicle",65914
"FCV","Light truck",2036,"sales","REF",2018,"vehicle",1840
"FFV","Light truck",2036,"sales","REF",2018,"vehicle",955766
"HEV","Light truck",2036,"sales","REF",2018,"vehicle",58117
"ICEV-D","Light truck",2036,"sales","REF",2018,"vehicle",58464
"ICEV-G","Light truck",2036,"sales","REF",2018,"vehicle",6320685
"PHEV20","Light truck",2036,"sales","REF",2018,"vehicle",13625
"PHEV40","Light truck",2036,"sales","REF",2018,"vehicle",7798
"BEV100","Car",2037,"sales","REF",2018,"vehicle",32044
