"Scenario","Size","Technology","Subcomponent","2030"
"Aluminum Maximum","Light truck","CNG","Body",-48.9518865522564
"Aluminum Maximum","Light truck","CNG","Chassis",-62.7474182169829
"Aluminum Maximum","Light truck","CNG","Exterior",-3.56013720380047
"Aluminum Maximum","Light truck","CNG","Interior",-8.01030870855101
"Aluminum Maximum","Light truck","CNG","Tires",-7.78780013331346
"Aluminum Maximum","Light truck","CNG","Transmission",-31.1512005332539
"Aluminum Maximum","Light truck","CNG","Wheels",-7.78780013331346
"Aluminum Maximum","Light truck","HEV","Body",-46.5692702304404
"Aluminum Maximum","Light truck","HEV","Chassis",-59.6933372953827
"Aluminum Maximum","Light truck","HEV","Exterior",-3.38685601675926
"Aluminum Maximum","Light truck","HEV","Interior",-7.62042603770828
"Aluminum Maximum","Light truck","HEV","Tires",-7.40874753666094
"Aluminum Maximum","Light truck","HEV","Transmission",-29.6349901466437
"Aluminum Maximum","Light truck","HEV","Wheels",-7.40874753666095
"Aluminum Maximum","Light truck","PHEV20","Body",-47.7547681505105
"Aluminum Maximum","Light truck","PHEV20","Chassis",-61.2129300838368
"Aluminum Maximum","Light truck","PHEV20","Exterior",-3.47307404730989
"Aluminum Maximum","Light truck","PHEV20","Interior",-7.8144166064472
"Aluminum Maximum","Light truck","PHEV20","Tires",-7.59734947849036
"Aluminum Maximum","Light truck","PHEV20","Transmission",-30.3893979139615
"Aluminum Maximum","Light truck","PHEV20","Wheels",-7.59734947849038
"Aluminum Maximum","Light truck","PHEV40","Body",-50.4347695655008
"Aluminum Maximum","Light truck","PHEV40","Chassis",-64.648204624869
"Aluminum Maximum","Light truck","PHEV40","Exterior",-3.66798324112728
"Aluminum Maximum","Light truck","PHEV40","Interior",-8.25296229253649
"Aluminum Maximum","Light truck","PHEV40","Tires",-8.023713339966
"Aluminum Maximum","Light truck","PHEV40","Transmission",-32.094853359864
"Aluminum Maximum","Light truck","PHEV40","Wheels",-8.023713339966
"Aluminum Maximum","Light truck","FCV","Body",-50.742966272861
"Aluminum Maximum","Light truck","FCV","Chassis",-65.0432567679404
"Aluminum Maximum","Light truck","FCV","Exterior",-3.69039754711721
"Aluminum Maximum","Light truck","FCV","Interior",-8.3033944810137
"Aluminum Maximum","Light truck","FCV","Tires",-8.07274463431884
"Aluminum Maximum","Light truck","FCV","Transmission",-32.2909785372754
"Aluminum Maximum","Light truck","FCV","Wheels",-8.07274463431885
NA,"Car","ICEV-G","Body",0
