"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"Aluminum Maximum","2016","Light truck","BEV300","Primary Material Production","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Primary Material Production","Cast Iron","GWP100",12.8559067944816,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Primary Material Production","Cast Iron","GWP100",20.3589107514947,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Primary Material Production","Cast Iron","GWP100",53.9991306724307,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Primary Material Production","Cast Iron","GWP100",24.4752464119954,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Primary Material Production","Cast Iron","GWP100",67.22860286873,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Primary Material Production","Cast Iron","GWP100",34.0467829884466,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Primary Material Production","Cast Iron","GWP100",80.490479865208,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Primary Material Production","Cast Iron","GWP100",40.6994283143449,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Primary Material Production","Cast Iron","GWP100",101.59850352245,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Primary Material Production","Cast Iron","GWP100",22.883137261595,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Primary Material Production","Cast Iron","GWP100",61.4480387012907,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Primary Material Production","Cast Iron","GWP100",24.3959175079217,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Primary Material Production","Cast Iron","GWP100",67.887402306906,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Primary Material Production","Cast Iron","GWP100",24.7989775853386,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
