"Year","Region","value","Unit"
2027,"CN",23.4679322666189,"kg CO2eq / kg prim alu"
2027,"IAI Area 1",13.8715860725912,"kg CO2eq / kg prim alu"
2027,"IAI Area 2, without Quebec",19.1517018147709,"kg CO2eq / kg prim alu"
2027,"IAI Area 3",11.9739897676962,"kg CO2eq / kg prim alu"
2027,"IAI Area 4&5 without China",27.6365998313441,"kg CO2eq / kg prim alu"
2027,"IAI Area 8",18.4343926573071,"kg CO2eq / kg prim alu"
2027,"UN-EUROPE",8.40856923978563,"kg CO2eq / kg prim alu"
2027,"UN-OCEANIA",20.0820548817003,"kg CO2eq / kg prim alu"
2028,"CA-QC",7.27591094706643,"kg CO2eq / kg prim alu"
2028,"CN",23.3826691900749,"kg CO2eq / kg prim alu"
2028,"IAI Area 1",13.8463603279386,"kg CO2eq / kg prim alu"
2028,"IAI Area 2, without Quebec",19.1029914070552,"kg CO2eq / kg prim alu"
2028,"IAI Area 3",11.9595957207867,"kg CO2eq / kg prim alu"
2028,"IAI Area 4&5 without China",27.6061149037434,"kg CO2eq / kg prim alu"
2028,"IAI Area 8",18.3985957237972,"kg CO2eq / kg prim alu"
2028,"UN-EUROPE",8.4048218231812,"kg CO2eq / kg prim alu"
2028,"UN-OCEANIA",20.0348800339711,"kg CO2eq / kg prim alu"
2029,"CA-QC",7.27537292340204,"kg CO2eq / kg prim alu"
2029,"CN",23.2978324289136,"kg CO2eq / kg prim alu"
2029,"IAI Area 1",13.8212192599878,"kg CO2eq / kg prim alu"
2029,"IAI Area 2, without Quebec",19.0544678953038,"kg CO2eq / kg prim alu"
2029,"IAI Area 3",11.9452395329849,"kg CO2eq / kg prim alu"
2029,"IAI Area 4&5 without China",27.5756738037808,"kg CO2eq / kg prim alu"
2029,"IAI Area 8",18.3629050978022,"kg CO2eq / kg prim alu"
2029,"UN-EUROPE",8.40108177403708,"kg CO2eq / kg prim alu"
2029,"UN-OCEANIA",19.9878677076452,"kg CO2eq / kg prim alu"
2030,"CA-QC",7.27483696406962,"kg CO2eq / kg prim alu"
2030,"CN",23.2134198515582,"kg CO2eq / kg prim alu"
2030,"IAI Area 1",13.7961625844998,"kg CO2eq / kg prim alu"
2030,"IAI Area 2, without Quebec",19.0061305624195,"kg CO2eq / kg prim alu"
2030,"IAI Area 3",11.9309211047138,"kg CO2eq / kg prim alu"
2030,"IAI Area 4&5 without China",27.5452764684464,"kg CO2eq / kg prim alu"
2030,"IAI Area 8",18.3273204636164,"kg CO2eq / kg prim alu"
2030,"UN-EUROPE",8.39734907786874,"kg CO2eq / kg prim alu"
2030,"UN-OCEANIA",19.9410173428225,"kg CO2eq / kg prim alu"
2031,"CA-QC",7.27430306114857,"kg CO2eq / kg prim alu"
2031,"CN",23.1294293370894,"kg CO2eq / kg prim alu"
2031,"IAI Area 1",13.7711900181893,"kg CO2eq / kg prim alu"
2031,"IAI Area 2, without Quebec",18.9579786940563,"kg CO2eq / kg prim alu"
2031,"IAI Area 3",11.9166403366587,"kg CO2eq / kg prim alu"
2031,"IAI Area 4&5 without China",27.5149228348205,"kg CO2eq / kg prim alu"
