"Scenario","Size","Technology","Subcomponent","bat_impro","fc_impro","frv_impro","Case","Year","value"
"BAU","Car","HEV","Body","n","n","n","No improvements",2020,3.22072817725996
"BAU","Car","ICEV-G","Body","n","n","n","No improvements",2020,3.17909361935074
"BAU","Car","PHEV40","Body","n","n","n","No improvements",2020,3.21095545137496
"BAU","Car","BEV300","Chassis","n","n","n","No improvements",2020,3.89573294500809
"BAU","Car","FFV","Chassis","n","n","n","No improvements",2020,4.07518382185134
"BAU","Car","HEV","Chassis","n","n","n","No improvements",2020,4.1283879363059
"BAU","Car","ICEV-G","Chassis","n","n","n","No improvements",2020,4.07502000298592
"BAU","Car","PHEV40","Chassis","n","n","n","No improvements",2020,4.11586107858056
"BAU","Car","BEV300","Electronic Controller","n","n","n","No improvements",2020,0.566748372954251
"BAU","Car","HEV","Electronic Controller","n","n","n","No improvements",2020,0.162268523639753
"BAU","Car","PHEV40","Electronic Controller","n","n","n","No improvements",2020,0.18567215669389
"BAU","Car","FFV","Engine","n","n","n","No improvements",2020,1.8625473685573
"BAU","Car","HEV","Engine","n","n","n","No improvements",2020,1.40435144297399
"BAU","Car","ICEV-G","Engine","n","n","n","No improvements",2020,1.86198104718162
"BAU","Car","PHEV40","Engine","n","n","n","No improvements",2020,1.44367404919572
"BAU","Car","HEV","EV Battery","n","n","n","No improvements",2020,0.488733557017881
"BAU","Car","BEV300","Exterior","n","n","n","No improvements",2020,0.221034493333804
"BAU","Car","FFV","Exterior","n","n","n","No improvements",2020,0.231216103367458
"BAU","Car","HEV","Exterior","n","n","n","No improvements",2020,0.234234776527998
"BAU","Car","ICEV-G","Exterior","n","n","n","No improvements",2020,0.231206808680064
"BAU","Car","PHEV40","Exterior","n","n","n","No improvements",2020,0.233524032827269
"BAU","Car","FFV","Fuel storage system","n","n","n","No improvements",2020,0.498896616577845
"BAU","Car","ICEV-G","Fuel storage system","n","n","n","No improvements",2020,0.498744923352213
"BAU","Car","HEV","Generator","n","n","n","No improvements",2020,0.327008290694415
"BAU","Car","PHEV40","Generator","n","n","n","No improvements",2020,0.502867908723069
"BAU","Car","BEV300","Interior","n","n","n","No improvements",2020,15.9973276100011
"BAU","Car","FFV","Interior","n","n","n","No improvements",2020,16.0202362325768
"BAU","Car","HEV","Interior","n","n","n","No improvements",2020,16.0270282471879
"BAU","Car","ICEV-G","Interior","n","n","n","No improvements",2020,16.0202153195301
"BAU","Car","PHEV40","Interior","n","n","n","No improvements",2020,16.0254290738613
"BAU","Car","BEV300","Tires","n","n","n","No improvements",2020,0.483512954167679
"BAU","Car","FFV","Tires","n","n","n","No improvements",2020,0.505785226116295
"BAU","Car","HEV","Tires","n","n","n","No improvements",2020,0.512388573654988
"BAU","Car","ICEV-G","Tires","n","n","n","No improvements",2020,0.505764893987617
"BAU","Car","PHEV40","Tires","n","n","n","No improvements",2020,0.510833821809648
"BAU","Car","BEV300","Traction Motor","n","n","n","No improvements",2020,1.00816623708087
"BAU","Car","HEV","Traction Motor","n","n","n","No improvements",2020,0.212274672461639
"BAU","Car","PHEV40","Traction Motor","n","n","n","No improvements",2020,0.407517421293655
"BAU","Car","BEV300","Transmission","n","n","n","No improvements",2020,1.9340518166707
"BAU","Car","FFV","Transmission","n","n","n","No improvements",2020,2.02314090446518
"BAU","Car","HEV","Transmission","n","n","n","No improvements",2020,2.04955429461995
"BAU","Car","ICEV-G","Transmission","n","n","n","No improvements",2020,2.02305957595047
"BAU","Car","PHEV40","Transmission","n","n","n","No improvements",2020,2.04333528723862
"BAU","Car","BEV300","Wheels","n","n","n","No improvements",2020,0.483512954167683
"BAU","Car","FFV","Wheels","n","n","n","No improvements",2020,0.505785226116288
"BAU","Car","HEV","Wheels","n","n","n","No improvements",2020,0.512388573654992
"BAU","Car","ICEV-G","Wheels","n","n","n","No improvements",2020,0.505764893987621
"BAU","Car","PHEV40","Wheels","n","n","n","No improvements",2020,0.510833821809644
"BAU","Car","BEV300","Body","n","n","n","No improvements",2021,3.64693692006648
"BAU","Car","FFV","Body","n","n","n","No improvements",2021,3.81472535890498
"BAU","Car","HEV","Body","n","n","n","No improvements",2021,3.86448975649643
"BAU","Car","ICEV-G","Body","n","n","n","No improvements",2021,3.8145715991086
"BAU","Car","PHEV40","Body","n","n","n","No improvements",2021,3.8528712170006
"BAU","Car","BEV300","Chassis","n","n","n","No improvements",2021,4.67471005208517
"BAU","Car","FFV","Chassis","n","n","n","No improvements",2021,4.88978432368737
"BAU","Car","HEV","Chassis","n","n","n","No improvements",2021,4.95357323332718
"BAU","Car","ICEV-G","Chassis","n","n","n","No improvements",2021,4.8895872315847
"BAU","Car","PHEV40","Chassis","n","n","n","No improvements",2021,4.93868037815525
"BAU","Car","BEV300","Electronic Controller","n","n","n","No improvements",2021,0.679830730889179
"BAU","Car","HEV","Electronic Controller","n","n","n","No improvements",2021,0.194590788717015
"BAU","Car","PHEV40","Electronic Controller","n","n","n","No improvements",2021,0.222693504372913
"BAU","Car","FFV","Engine","n","n","n","No improvements",2021,2.23354868386488
"BAU","Car","HEV","Engine","n","n","n","No improvements",2021,1.6840841883228
"BAU","Car","ICEV-G","Engine","n","n","n","No improvements",2021,2.23286733699732
"BAU","Car","PHEV40","Engine","n","n","n","No improvements",2021,1.73152958910077
"BAU","Car","HEV","EV Battery","n","n","n","No improvements",2021,0.586028380005018
"BAU","Car","BEV300","Exterior","n","n","n","No improvements",2021,0.265231776004846
"BAU","Car","FFV","Exterior","n","n","n","No improvements",2021,0.277434571556746
"BAU","Car","HEV","Exterior","n","n","n","No improvements",2021,0.281053800472471
"BAU","Car","ICEV-G","Exterior","n","n","n","No improvements",2021,0.27742338902609
"BAU","Car","PHEV40","Exterior","n","n","n","No improvements",2021,0.280208815781862
"BAU","Car","FFV","Fuel storage system","n","n","n","No improvements",2021,0.598271968892369
"BAU","Car","ICEV-G","Fuel storage system","n","n","n","No improvements",2021,0.598089465267144
"BAU","Car","HEV","Generator","n","n","n","No improvements",2021,0.392145067792072
"BAU","Car","PHEV40","Generator","n","n","n","No improvements",2021,0.603135218679242
"BAU","Car","BEV300","Interior","n","n","n","No improvements",2021,19.1967714960109
"BAU","Car","FFV","Interior","n","n","n","No improvements",2021,19.2242277860026
"BAU","Car","HEV","Interior","n","n","n","No improvements",2021,19.232371051063
"BAU","Car","ICEV-G","Interior","n","n","n","No improvements",2021,19.2242026253086
"BAU","Car","PHEV40","Interior","n","n","n","No improvements",2021,19.2304698355091
"BAU","Car","BEV300","Tires","n","n","n","No improvements",2021,0.580194510010582
"BAU","Car","FFV","Tires","n","n","n","No improvements",2021,0.606888125280342
"BAU","Car","HEV","Tires","n","n","n","No improvements",2021,0.614805188533516
"BAU","Car","ICEV-G","Tires","n","n","n","No improvements",2021,0.606863663494551
"BAU","Car","PHEV40","Tires","n","n","n","No improvements",2021,0.612956784522808
"BAU","Car","BEV300","Traction Motor","n","n","n","No improvements",2021,1.20932396548366
"BAU","Car","HEV","Traction Motor","n","n","n","No improvements",2021,0.254557661661245
"BAU","Car","PHEV40","Traction Motor","n","n","n","No improvements",2021,0.488772706995135
"BAU","Car","BEV300","Transmission","n","n","n","No improvements",2021,2.3207780400423
"BAU","Car","FFV","Transmission","n","n","n","No improvements",2021,2.4275525011214
"BAU","Car","HEV","Transmission","n","n","n","No improvements",2021,2.45922075413407
"BAU","Car","ICEV-G","Transmission","n","n","n","No improvements",2021,2.42745465397822
"BAU","Car","PHEV40","Transmission","n","n","n","No improvements",2021,2.45182713809129
"BAU","Car","BEV300","Wheels","n","n","n","No improvements",2021,0.580194510010589
"BAU","Car","FFV","Wheels","n","n","n","No improvements",2021,0.606888125280339
"BAU","Car","HEV","Wheels","n","n","n","No improvements",2021,0.614805188533516
"BAU","Car","ICEV-G","Wheels","n","n","n","No improvements",2021,0.606863663494554
"BAU","Car","PHEV40","Wheels","n","n","n","No improvements",2021,0.612956784522805
