"Scenario","Size","Technology","Subcomponent","feature_wgt","Case","Year","value"
"BAU","Car","BEV300","Chassis","n","Low",2017,-25.780675664337
"BAU","Light truck","BEV300","Chassis","n","Low",2017,-42.1747924542192
"BAU","Car","PHEV20","Chassis","n","Low",2017,-1.61919817160219
"BAU","Light truck","PHEV20","Chassis","n","Low",2017,-2.76296455967525
"BAU","Car","PHEV40","Chassis","n","Low",2017,-3.73156592472048
"BAU","Light truck","PHEV40","Chassis","n","Low",2017,-7.71947845252083
"BAU","Car","BEV100","Electronic Controller","n","Low",2017,-1.53900850155364
"BAU","Light truck","BEV100","Electronic Controller","n","Low",2017,-3.13439550547821
"BAU","Car","BEV300","Electronic Controller","n","Low",2017,-6.0432948582532
"BAU","Light truck","BEV300","Electronic Controller","n","Low",2017,-9.65481741052639
"BAU","Car","PHEV20","Electronic Controller","n","Low",2017,-0.115777105551789
"BAU","Light truck","PHEV20","Electronic Controller","n","Low",2017,-0.217033862724229
"BAU","Car","PHEV40","Electronic Controller","n","Low",2017,-0.270991397847794
"BAU","Light truck","PHEV40","Electronic Controller","n","Low",2017,-0.59312725889923
"BAU","Car","PHEV20","Engine","n","Low",2017,-0.880622558039619
"BAU","Light truck","PHEV20","Engine","n","Low",2017,-1.44059217588432
"BAU","Car","PHEV40","Engine","n","Low",2017,-2.10706470800122
"BAU","Light truck","PHEV40","Engine","n","Low",2017,-4.0574306903433
"BAU","Car","BEV100","EV Battery","n","Low",2017,-20.4699941697532
"BAU","Light truck","BEV100","EV Battery","n","Low",2017,-42.0228276058077
"BAU","Car","BEV300","EV Battery","n","Low",2017,-96.2026801481899
"BAU","Light truck","BEV300","EV Battery","n","Low",2017,-157.118482581276
"BAU","Car","PHEV20","EV Battery","n","Low",2017,-5.72862552833477
"BAU","Light truck","PHEV20","EV Battery","n","Low",2017,-9.74830656897386
"BAU","Car","PHEV40","EV Battery","n","Low",2017,-12.6485964115761
"BAU","Light truck","PHEV40","EV Battery","n","Low",2017,-26.162631003915
"BAU","Car","BEV100","Exterior","n","Low",2017,-0.309274542091138
"BAU","Light truck","BEV100","Exterior","n","Low",2017,-0.635452735171462
"BAU","Car","BEV300","Exterior","n","Low",2017,-1.46273337102622
"BAU","Light truck","BEV300","Exterior","n","Low",2017,-2.39289602577131
"BAU","Car","PHEV20","Exterior","n","Low",2017,-0.0918693998072158
"BAU","Light truck","PHEV20","Exterior","n","Low",2017,-0.15676394664824
"BAU","Car","PHEV40","Exterior","n","Low",2017,-0.211720052466411
"BAU","Light truck","PHEV40","Exterior","n","Low",2017,-0.437984593050835
"BAU","Car","PHEV20","Generator","n","Low",2017,-0.217697223440076
"BAU","Light truck","PHEV20","Generator","n","Low",2017,-0.39991013689778
"BAU","Car","PHEV40","Generator","n","Low",2017,-0.733943526827979
"BAU","Light truck","PHEV40","Generator","n","Low",2017,-1.6327256378309
"BAU","Car","BEV100","Interior","n","Low",2017,-0.69586771970512
"BAU","Light truck","BEV100","Interior","n","Low",2017,-1.42976865413576
"BAU","Car","BEV300","Interior","n","Low",2017,-3.29115008480898
"BAU","Light truck","BEV300","Interior","n","Low",2017,-5.38401605798549
"BAU","Car","PHEV20","Interior","n","Low",2017,-0.206706149566287
"BAU","Light truck","PHEV20","Interior","n","Low",2017,-0.352718879958474
"BAU","Car","PHEV40","Interior","n","Low",2017,-0.476370118049431
"BAU","Light truck","PHEV40","Interior","n","Low",2017,-0.985465334364306
"BAU","Car","BEV100","Tires","n","Low",2017,-0.676538060824381
"BAU","Light truck","BEV100","Tires","n","Low",2017,-1.39005285818757
"BAU","Car","BEV300","Tires","n","Low",2017,-3.19972924911985
"BAU","Light truck","BEV300","Tires","n","Low",2017,-5.23446005637473
"BAU","Car","PHEV20","Tires","n","Low",2017,-0.200964312078291
"BAU","Light truck","PHEV20","Tires","n","Low",2017,-0.342921133293018
"BAU","Car","PHEV40","Tires","n","Low",2017,-0.463137614770268
"BAU","Light truck","PHEV40","Tires","n","Low",2017,-0.958091297298687
"BAU","Car","BEV100","Traction Motor","n","Low",2017,-1.88245570523428
"BAU","Light truck","BEV100","Traction Motor","n","Low",2017,-3.93150068070868
"BAU","Car","BEV300","Traction Motor","n","Low",2017,-10.750177905331
"BAU","Light truck","BEV300","Traction Motor","n","Low",2017,-18.0779179990313
"BAU","Car","PHEV20","Traction Motor","n","Low",2017,-0.154188719741363
"BAU","Light truck","PHEV20","Traction Motor","n","Low",2017,-0.304172134095431
"BAU","Car","PHEV40","Traction Motor","n","Low",2017,-0.594778008776899
"BAU","Light truck","PHEV40","Traction Motor","n","Low",2017,-1.38839522218727
"BAU","Car","BEV100","Transmission","n","Low",2017,-2.7061522432975
"BAU","Light truck","BEV100","Transmission","n","Low",2017,-5.56021143275026
"BAU","Car","BEV300","Transmission","n","Low",2017,-12.7989169964794
"BAU","Light truck","BEV300","Transmission","n","Low",2017,-20.9378402254989
"BAU","Car","PHEV20","Transmission","n","Low",2017,-0.803857248313165
"BAU","Light truck","PHEV20","Transmission","n","Low",2017,-1.37168453317209
"BAU","Car","PHEV40","Transmission","n","Low",2017,-1.85255045908109
"BAU","Light truck","PHEV40","Transmission","n","Low",2017,-3.83236518919473
"BAU","Car","BEV100","Wheels","n","Low",2017,-0.676538060824381
"BAU","Light truck","BEV100","Wheels","n","Low",2017,-1.39005285818757
"BAU","Car","BEV300","Wheels","n","Low",2017,-3.19972924911985
"BAU","Light truck","BEV300","Wheels","n","Low",2017,-5.23446005637473
"BAU","Car","PHEV20","Wheels","n","Low",2017,-0.200964312078288
"BAU","Light truck","PHEV20","Wheels","n","Low",2017,-0.342921133293014
"BAU","Car","PHEV40","Wheels","n","Low",2017,-0.463137614770272
"BAU","Light truck","PHEV40","Wheels","n","Low",2017,-0.958091297298687
"BAU","Car","BEV100","Body","n","Low",2018,-6.09405133717786
"BAU","Light truck","BEV100","Body","n","Low",2018,-12.4830647711766
"BAU","Car","BEV300","Body","n","Low",2018,-28.7428209839529
"BAU","Light truck","BEV300","Body","n","Low",2018,-47.157699585049
"BAU","Car","PHEV20","Body","n","Low",2018,-1.8566464365091
"BAU","Light truck","PHEV20","Body","n","Low",2018,-3.09958416082191
"BAU","Car","PHEV40","Body","n","Low",2018,-4.24411031022095
"BAU","Light truck","PHEV40","Body","n","Low",2018,-8.7571571294053
"BAU","Car","BEV100","Chassis","n","Low",2018,-7.81146580492805
"BAU","Light truck","BEV100","Chassis","n","Low",2018,-16.0010193885084
"BAU","Car","BEV300","Chassis","n","Low",2018,-36.843070533976
"BAU","Light truck","BEV300","Chassis","n","Low",2018,-60.4475967408356
"BAU","Car","PHEV20","Chassis","n","Low",2018,-2.37988315952521
"BAU","Light truck","PHEV20","Chassis","n","Low",2018,-3.97310333341727
"BAU","Car","PHEV40","Chassis","n","Low",2018,-5.44017776128334
"BAU","Light truck","PHEV40","Chassis","n","Low",2018,-11.2250832295105
"BAU","Car","BEV100","Electronic Controller","n","Low",2018,-2.20565865924834
"BAU","Light truck","BEV100","Electronic Controller","n","Low",2018,-4.47327674081242
"BAU","Car","BEV300","Electronic Controller","n","Low",2018,-8.62533518995468
"BAU","Light truck","BEV300","Electronic Controller","n","Low",2018,-13.8107966885448
"BAU","Car","PHEV20","Electronic Controller","n","Low",2018,-0.169260565063333
