"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2040,0.194857,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2041,0.194859,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2042,0.194812,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2043,0.194912,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2044,0.194926,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2045,0.195023,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2046,0.195033,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2047,0.195117,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2048,0.195243,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2049,0.195368,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2050,0.195531,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2016,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2017,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2018,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2019,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2020,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2021,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2022,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2023,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2024,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2025,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2026,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2027,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2028,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2029,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2030,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2031,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2032,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2033,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2034,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2035,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2036,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2037,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2038,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2039,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2040,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2041,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2042,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2043,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2044,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2045,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2046,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2047,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2048,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2049,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2050,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"LOP"
2016,1.437,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2017,4.500018,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2018,6.733739,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2019,5.316935,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2020,3.930291,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2021,8.115699,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2022,7.98884,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2023,8.114251,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2024,5.955719,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2025,5.56366,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2026,4.90637,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2027,4.487351,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2028,4.488819,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2029,4.488932,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2030,4.249191,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2031,1.546271,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2032,1.545149,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2033,1.544369,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2034,1.54354,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2035,1.542572,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2036,1.541085,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2037,1.539797,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2038,1.53866,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2039,1.537233,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2040,1.535692,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2041,1.534451,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2042,1.533239,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2043,1.531792,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2044,1.530401,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2045,1.529346,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2046,1.528243,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2047,1.527157,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2048,1.526091,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2049,1.524693,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2050,1.523396,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"LOP"
2016,48.694744,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"LOP"
2017,65.395073,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"LOP"
2018,66.065094,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"LOP"
2019,62.895866,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"LOP"
2020,61.963493,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"LOP"
