"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2045,0.194181,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2046,0.172418,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2047,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2048,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2049,0.096582,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2050,0.091988,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2016,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2017,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2018,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2019,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2020,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2021,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2022,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2023,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2024,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2025,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2026,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2027,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2028,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2029,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2030,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2031,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2032,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2033,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2034,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2035,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2036,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2037,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2038,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2039,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2040,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2041,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2042,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2043,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2044,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2045,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2046,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2047,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2048,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2049,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2050,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"REF"
2016,1.437,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2017,4.500018,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2018,7.615989,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2019,5.922473,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2020,5.568902,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2021,8.120014,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2022,7.227527,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2023,7.772192,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2024,6.090342,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2025,5.567754,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2026,4.491339,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2027,4.49212,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2028,3.205422,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2029,4.297604,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2030,3.20486,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2031,3.20418,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2032,1.548294,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2033,1.547804,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2034,1.547654,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2035,1.547248,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2036,1.54606,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2037,1.544946,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2038,1.543808,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2039,1.542672,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2040,1.541303,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2041,1.540133,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2042,1.538798,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2043,1.537318,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2044,1.535797,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
2045,1.5344,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"REF"
